date,category,amount,description
2025-01-01,Food,1500,Traditional Albanian meal at a local restaurant
2025-01-03,Transport,300,Bus ticket for Tirana commute
2025-01-05,Utilities,800,Electricity bill payment
2025-01-07,Entertainment,500,Movie ticket at a local cinema
2025-01-10,Groceries,1200,Weekly groceries from the local market
2025-01-02,Food,1600,Lunch at a local cafe
2025-01-02,Transport,250,Taxi ride in Tirana
2025-01-04,Entertainment,600,Concert ticket
2025-01-06,Utilities,900,Water bill payment
2025-01-08,Food,1400,Fast food dinner
2025-01-09,Groceries,1300,Weekly market shopping
2025-01-11,Health,500,Pharmacy purchase
2025-01-12,Clothing,2000,New T-shirt purchase
2025-01-13,Transport,350,Train ticket for intercity
2025-01-14,Food,1700,Local restaurant dinner
2025-01-15,Entertainment,450,Local theater show
2025-01-16,Utilities,750,Internet bill
2025-01-17,Groceries,1100,Weekly groceries
2025-01-18,Food,1800,Brunch with friends
2025-01-19,Transport,400,Bus fare
2025-01-20,Health,600,Doctor appointment copay
2025-01-21,Clothing,1500,New socks and shirt
2025-01-22,Utilities,850,Gas bill payment
2025-01-23,Entertainment,700,Live performance ticket
2025-01-24,Food,1600,Local bakery treats
2025-01-25,Transport,320,Subway ticket
2025-01-26,Groceries,1250,Market groceries
2025-01-27,Utilities,800,Electricity bill payment
2025-01-28,Food,1900,Family dinner
2025-01-29,Transport,300,Bus ticket
2025-01-30,Entertainment,550,Concert ticket
2025-01-31,Groceries,1150,Weekly groceries
2025-02-01,Food,1600,Lunch at local bistro
2025-02-01,Transport,280,Short taxi ride
2025-02-02,Utilities,900,Water bill payment
2025-02-02,Entertainment,600,Movie screening
2025-02-03,Groceries,1200,Market shopping
2025-02-03,Food,1400,Snack at a cafe
2025-02-04,Transport,350,Train ticket
2025-02-04,Health,700,Pharmacy purchase
2025-02-05,Food,1500,Traditional Albanian meal
2025-02-05,Clothing,1800,New scarf purchase
2025-02-06,Utilities,800,Electricity bill
2025-02-06,Entertainment,500,Local theater performance
2025-02-07,Groceries,1300,Weekly groceries
2025-02-07,Transport,300,Bus ticket
2025-02-08,Food,1700,Dinner at restaurant
2025-02-08,Health,550,Doctor copay
2025-02-09,Entertainment,450,Local festival entry
2025-02-09,Utilities,850,Internet bill
2025-02-10,Groceries,1250,Market shopping
2025-02-10,Transport,330,Subway ride
2025-02-11,Food,1600,Brunch
2025-02-11,Clothing,2100,New jeans purchase
2025-02-12,Utilities,950,Gas bill
2025-02-12,Entertainment,600,Concert ticket
2025-02-13,Food,1400,Lunch at cafe
2025-02-13,Transport,400,Taxi ride
2025-02-14,Groceries,1150,Weekly groceries
2025-02-14,Health,650,Pharmacy purchase
2025-02-15,Food,1800,Dinner with family
2025-02-15,Transport,310,Bus ride
2025-02-16,Utilities,780,Electricity bill
2025-02-16,Entertainment,540,Movie night
2025-02-17,Groceries,1250,Weekly market shopping
2025-02-17,Food,1700,Brunch
2025-02-18,Transport,320,Train fare
2025-02-18,Clothing,1900,Shoes purchase
2025-02-19,Utilities,860,Water bill
2025-02-19,Entertainment,510,Live show ticket
2025-02-20,Food,1550,Traditional meal
2025-02-20,Transport,290,Bus fare
2025-02-21,Groceries,1320,Market groceries
2025-02-21,Health,600,Medical checkup
2025-02-22,Food,1650,Lunch special
2025-02-22,Utilities,870,Internet bill
2025-02-23,Entertainment,520,Concert
2025-02-23,Transport,310,Taxi fare
2025-02-24,Groceries,1400,Weekly groceries
2025-02-24,Food,1750,Restaurant dinner
2025-02-25,Utilities,920,Gas bill
2025-02-25,Entertainment,580,Movie screening
2025-02-26,Food,1500,Local cuisine meal
2025-02-26,Transport,300,Bus ticket
2025-02-27,Groceries,1250,Market shopping
2025-02-27,Health,700,Pharmacy purchase
2025-02-28,Food,1650,Lunch at local eatery
2025-02-28,Utilities,800,Electricity bill
